죄종별(2),2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
죄종별(2),생활정도,생활정도,생활정도,생활정도,혼인 및 미혼자부모관계,혼인관계,혼인관계,혼인관계,혼인관계,혼인관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미상,생활정도,생활정도,생활정도,생활정도,생활정도,혼인 및 미혼자부모관계,혼인관계,혼인관계,혼인관계,혼인관계,혼인관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미상,생활정도,생활정도,생활정도,생활정도,생활정도,혼인 및 미혼자부모관계,혼인관계,혼인관계,혼인관계,혼인관계,혼인관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미상,생활정도,생활정도,생활정도,생활정도,생활정도,혼인 및 미혼자부모관계,혼인관계,혼인관계,혼인관계,혼인관계,혼인관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미상,생활정도,생활정도,생활정도,생활정도,생활정도,혼인 및 미혼자부모관계,혼인관계,혼인관계,혼인관계,혼인관계,혼인관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미혼자 부모관계,미상
죄종별(2),하류,중류,상류,미상,소계,소계,유배우자,동거,이혼,사별,소계,실(양)부모,계부모,실부계모,실부무모,실모계부,실모무부,계부무모,계모무부,무부모,소계,소계,하류,중류,상류,미상,소계,소계,유배우자,동거,이혼,사별,소계,실(양)부모,계부모,실부계모,실부무모,실모계부,실모무부,계부무모,계모무부,무부모,소계,소계,하류,중류,상류,미상,소계,소계,유배우자,동거,이혼,사별,소계,실(양)부모,계부모,실부계모,실부무모,실모계부,실모무부,계부무모,계모무부,무부모,소계,소계,하류,중류,상류,미상,소계,소계,유배우자,동거,이혼,사별,소계,실(양)부모,계부모,실부계모,실부무모,실모계부,실모무부,계부무모,계모무부,무부모,소계,소계,하류,중류,상류,미상,소계,소계,유배우자,동거,이혼,사별,소계,실(양)부모,계부모,실부계모,실부무모,실모계부,실모무부,계부무모,계모무부,무부모,소계
살인기수,270,95,6,75,446,242,153,17,54,18,128,65,-,3,11,-,24,-,-,25,76,377,226,81,2,68,377,206,124,14,54,14,103,53,-,3,6,2,21,-,-,18,68,447,250,89,6,102,447,221,127,12,64,18,124,58,2,4,4,-,23,-,-,32,102,389,236,69,6,78,389,211,122,18,59,12,99,45,-,1,11,-,18,-,-,24,79,379,238,70,3,68,379,195,111,11,62,11,115,54,-,2,8,4,24,-,-,23,69
강도,2430,639,12,241,3322,798,509,58,219,12,2272,1452,12,44,204,33,308,2,5,212,252,2593,1814,548,9,222,2593,710,473,47,179,11,1660,1090,4,40,135,23,238,4,1,125,223,2078,1473,417,15,173,2078,605,356,47,191,11,1300,837,5,21,93,20,174,3,-,147,173,1999,1412,412,20,155,1999,542,325,38,166,13,1302,843,3,19,101,14,186,3,5,128,155,1716,1201,347,9,159,1716,482,263,26,182,11,1074,679,4,25,88,17,152,-,4,105,160
강간,8996,4749,188,4079,18012,6083,4341,243,1309,190,7902,5720,35,70,397,58,1009,7,9,597,4027,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
방화,943,344,6,106,1399,757,492,54,185,26,533,339,-,2,26,3,75,-,-,88,109,1386,992,297,5,92,1386,745,436,57,226,26,552,283,-,4,44,4,107,-,4,106,89,1466,1037,318,8,103,1466,790,453,72,227,38,571,320,3,6,34,6,105,1,2,94,105,1517,1059,322,10,126,1517,848,501,81,228,38,540,274,2,6,34,8,88,-,1,127,129,1396,903,350,9,134,1396,732,462,55,184,31,530,285,-,3,35,5,90,-,2,110,134
절도,66837,29703,545,7349,104434,32297,23108,1098,6396,1695,64955,46488,213,837,5246,631,6605,63,101,4771,7182,102658,65806,28888,717,7247,102658,33207,23269,1220,6817,1901,62153,42671,205,919,5481,703,6957,93,72,5052,7298,95645,59965,27680,639,7361,95645,33927,23375,1175,7254,2123,54314,37361,183,812,4525,526,6080,70,77,4680,7404,103166,64243,29898,738,8287,103166,37486,25367,1397,8198,2524,57340,39488,195,788,4592,570,6440,61,72,5134,8340,106415,66071,30650,820,8874,106415,41780,27954,1418,9145,3263,55704,38203,204,694,4243,493,6258,71,72,5466,8931
폭행,58262,29302,718,79693,167975,57393,44816,1999,9068,1510,30990,22879,122,110,1127,126,3556,19,42,3009,79592,166337,57620,28766,712,79239,166337,56863,44045,2046,9068,1704,30096,21745,115,119,1162,117,3708,30,45,3055,79378,171166,56550,29028,761,84827,171166,56201,42983,2208,9324,1686,29878,21049,101,132,1303,130,3896,19,40,3208,85087,192308,60979,35234,1141,94954,192308,64758,48750,4129,10104,1775,32165,22485,145,145,1452,133,4198,18,31,3558,95385,216857,68971,41666,1369,104851,216857,73530,54557,4915,12118,1940,38232,26615,132,183,1832,209,5084,21,67,4089,105095
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,2013,2014,2015,2016,Total,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하류,137738,126458,119275,127929,137384,648784,0.663908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중류,64832,58580,57532,65935,73083,319962,0.327421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상류,1475,1445,1429,1915,2210,8474,0.008671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,2013,2014,2015,2016,Total,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유배우자,73419,68347,67294,75065,83347,367472,0.732587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동거,3469,3384,3514,5663,6425,22455,0.044765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이혼,17231,16344,17060,18755,21691,91081,0.181578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사별,3451,3656,3876,4362,5256,20601,0.04107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,2013,2014,2015,2016,Total,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양부모,76943,65842,59625,63135,65836,331381,0.715754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부,7011,6828,5959,6190,6206,32194,0.069536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
모,11577,11031,10278,10930,11608,55424,0.119711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
무부모,8702,8356,8161,8971,9793,43983,0.094999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
