죄종별.2.,X2012.1,X2012.2,X2012.3,X2012.4,X2012.5,X2012.6,X2012.7,X2012.8,X2012.9,X2012.10,X2012.11,X2012.12,X2012.13,X2012.14,X2012.15,X2012.16,X2012.17,X2012.18,X2012.19,X2012.20,X2012.21,X2012.22,X2012.23,X2012.24,X2012.25,X2012.26,X2012.27,X2012.28,X2012.29,X2012.30,X2012.31,X2012.32,X2012.33,X2012.34,X2012.35,X2012.36,X2012.37,X2012.38,X2012.39,X2012.40,X2012.41,X2012.42,X2012.43,X2012.44,X2012.45,X2012.46,X2012.47,X2012.48,X2012.49,X2012.50,X2012.51,X2012.52,X2012.53,X2013.1,X2013.2,X2013.3,X2013.4,X2013.5,X2013.6,X2013.7,X2013.8,X2013.9,X2013.10,X2013.11,X2013.12,X2013.13,X2013.14,X2013.15,X2013.16,X2013.17,X2013.18,X2013.19,X2013.20,X2013.21,X2013.22,X2013.23,X2013.24,X2013.25,X2013.26,X2013.27,X2013.28,X2013.29,X2013.30,X2013.31,X2013.32,X2013.33,X2013.34,X2013.35,X2013.36,X2013.37,X2013.38,X2013.39,X2013.40,X2013.41,X2013.42,X2013.43,X2013.44,X2013.45,X2013.46,X2013.47,X2013.48,X2013.49,X2013.50,X2013.51,X2013.52,X2014.1,X2014.2,X2014.3,X2014.4,X2014.5,X2014.6,X2014.7,X2014.8,X2014.9,X2014.10,X2014.11,X2014.12,X2014.13,X2014.14,X2014.15,X2014.16,X2014.17,X2014.18,X2014.19,X2014.20,X2014.21,X2014.22,X2014.23,X2014.24,X2014.25,X2014.26,X2014.27,X2014.28,X2014.29,X2014.30,X2014.31,X2014.32,X2014.33,X2014.34,X2014.35,X2014.36,X2014.37,X2014.38,X2014.39,X2014.40,X2014.41,X2014.42,X2014.43,X2014.44,X2014.45,X2014.46,X2014.47,X2014.48,X2014.49,X2014.50,X2014.51,X2014.52,X2015.1,X2015.2,X2015.3,X2015.4,X2015.5,X2015.6,X2015.7,X2015.8,X2015.9,X2015.10,X2015.11,X2015.12,X2015.13,X2015.14,X2015.15,X2015.16,X2015.17,X2015.18,X2015.19,X2015.20,X2015.21,X2015.22,X2015.23,X2015.24,X2015.25,X2015.26,X2015.27,X2015.28,X2015.29,X2015.30,X2015.31,X2015.32,X2015.33,X2015.34,X2015.35,X2015.36,X2015.37,X2015.38,X2015.39,X2015.40,X2015.41,X2015.42,X2015.43,X2015.44,X2015.45,X2015.46,X2015.47,X2015.48,X2015.49,X2015.50,X2015.51,X2015.52,X2015.53,X2015.54,X2015.55,X2015.56,X2015.57,X2015.58,X2015.59,X2015.60,X2015.61,X2015.62,X2015.63,X2015.64,X2015.65,X2015.66,X2015.67,X2015.68,X2015.69,X2015.70,X2015.71,X2015.72,X2015.73,X2015.74,X2015.75,X2015.76,X2015.77,X2015.78,X2015.79,X2015.80,X2015.81,X2015.82,X2015.83,X2015.84,X2015.85,X2015.86,X2016.1,X2016.2,X2016.3,X2016.4,X2016.5,X2016.6,X2016.7,X2016.8,X2016.9,X2016.10,X2016.11,X2016.12,X2016.13,X2016.14,X2016.15,X2016.16,X2016.17,X2016.18,X2016.19,X2016.20,X2016.21,X2016.22,X2016.23,X2016.24,X2016.25,X2016.26,X2016.27,X2016.28,X2016.29,X2016.30,X2016.31,X2016.32,X2016.33,X2016.34,X2016.35,X2016.36,X2016.37,X2016.38,X2016.39,X2016.40,X2016.41,X2016.42,X2016.43,X2016.44,X2016.45,X2016.46,X2016.47,X2016.48,X2016.49,X2016.50,X2016.51,X2016.52,X2016.53,X2016.54,X2016.55,X2016.56,X2016.57,X2016.58,X2016.59,X2016.60,X2016.61,X2016.62,X2016.63,X2016.64,X2016.65,X2016.66,X2016.67,X2016.68,X2016.69,X2016.70,X2016.71,X2016.72,X2016.73,X2016.74,X2016.75,X2016.76,X2016.77,X2016.78,X2016.79,X2016.80,X2016.81,X2016.82,X2016.83,X2016.84,X2016.85
죄종별(2),서울,부산,대구,인천,광주,대전,울산,경기 고양,경기 광명,경기 구리,경기 군포,경기 남양주,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안양,경기 용인,경기 의정부,경기 이천,경기 파주,경기 평택,강원 강릉,강원 원주,강원 춘천,충북 제천,충북 청주,충북 충주,충남 논산,충남 서산,충남 아산,충남 천안,전북군산,전북 익산,전북 전주,전북 정읍,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 안동,경북 포항,경남 거제,경남 김해,경남 마산,경남 양산,경남 진주,경남 창원,제주 제주,서울,부산,대구,인천,광주,대전,울산,경기 고양,경기 광명,경기 구리,경기 군포,경기 남양주,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안양,경기 용인,경기 의정부,경기 이천,경기 파주,경기 평택,강원 강릉,강원 원주,강원 춘천,충북 제천,충북 청주,충북 충주,충남 논산,충남 서산,충남 아산,충남 천안,전북군산,전북 익산,전북 전주,전북 정읍,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 안동,경북 포항,경남 거제,경남 김해,경남 양산,경남 진주,경남 창원,제주 제주,서울,부산,대구,인천,광주,대전,울산,경기 고양,경기 광명,경기 구리,경기 군포,경기 남양주,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안양,경기 용인,경기 의정부,경기 이천,경기 파주,경기 평택,강원 강릉,강원 원주,강원 춘천,충북 제천,충북 청주,충북 충주,충남 논산,충남 서산,충남 아산,충남 천안,전북군산,전북 익산,전북 전주,전북 정읍,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 안동,경북 포항,경남 거제,경남 김해,경남 양산,경남 진주,경남 창원,제주 제주,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 마산,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주
소계,103462,34024,24227,19702,19775,14940,9714,6396,2461,2259,2235,3430,10515,8454,10535,3427,7438,4476,4648,4215,1451,2367,4250,2150,3935,2020,766,7267,1648,932,932,2391,6804,1906,3079,5585,762,3089,2149,2590,2165,2289,3457,783,1359,3689,1841,5053,499,2204,2535,9199,7033,102767,33179,24135,20307,18989,14587,10546,6343,2720,2111,2107,3254,10289,7930,10496,3670,6689,4366,4358,4334,1524,2235,4345,1783,3707,2081,911,7066,1686,987,1034,2551,6384,1950,3091,6148,706,2989,2180,2500,2192,2364,3427,851,1171,3591,2146,4665,2140,2622,9930,8539,101501,31529,21026,19481,17025,14618,9955,5778,2923,1939,2159,3411,8861,7704,11019,3380,6846,4120,4636,4755,1421,2441,4546,1627,3129,1879,1011,7289,1434,822,1143,2236,6154,2292,2617,5736,831,2589,2232,2065,1982,1730,3088,810,1057,3556,1786,5227,1922,3088,7878,7561,98303,30721,20427,21961,14677,14231,10183,822,5962,311,2524,1988,2049,1878,1950,3697,875,8662,7581,11320,3522,7779,1469,4123,1547,770,2108,4812,601,4482,1433,2354,4057,1238,996,3709,1471,584,406,645,2985,1950,243,824,7661,1372,66,553,804,1577,858,1118,2363,5662,2468,612,480,2340,5259,876,834,77,2880,2161,2006,1751,1877,3125,855,436,465,1124,465,473,3807,2026,4393,3,485,658,1929,2885,8854,977,1555,5543,92781,28113,17644,23576,11635,12817,8761,1072,5668,362,2683,1930,2002,1763,1806,3770,780,8388,7599,10571,3456,7040,1503,4489,1303,875,1968,5068,614,3944,1583,2614,4067,1222,934,3602,1660,480,504,702,3075,2130,293,845,7143,1276,72,610,718,1022,648,1130,2239,5219,1986,530,512,2272,4377,558,746,75,2597,1869,2303,2277,1731,2567,825,409,434,1151,485,551,3300,1848,4182,608,574,1817,2632,6838,941,1755,5338
살인기수,66,28,17,21,15,10,9,5,1,1,2,7,1,7,7,5,2,4,6,2,1,3,4,3,4,2,1,5,2,1,3,1,4,1,4,11,3,0,5,1,1,2,3,0,4,3,4,4,1,3,4,13,7,49,26,12,13,6,12,10,4,1,0,0,2,6,3,5,4,6,3,8,3,2,4,2,5,7,3,0,3,2,3,1,4,8,5,2,2,0,3,0,5,0,4,3,1,1,2,1,3,0,2,13,10,56,21,17,16,12,12,13,4,1,2,1,8,6,7,4,4,9,0,4,2,0,4,1,1,2,1,1,2,2,2,2,3,6,2,4,6,2,1,4,3,3,3,5,0,0,6,1,2,1,7,7,5,67,20,13,17,11,8,12,2,8,2,1,4,0,1,2,5,0,7,4,6,9,8,0,2,1,1,2,7,0,0,3,3,1,4,1,7,1,1,0,0,5,3,0,2,4,1,0,0,3,0,3,0,5,4,0,0,0,3,4,0,0,0,2,1,4,1,3,3,0,1,1,2,1,0,1,2,1,0,1,0,2,4,7,2,0,11,46,29,17,20,9,16,7,1,6,0,1,3,1,0,2,3,1,6,5,10,8,4,2,6,0,2,1,2,1,4,1,3,4,2,2,4,0,0,0,0,4,3,0,1,1,2,0,1,3,1,0,2,0,4,1,0,0,4,3,0,0,0,1,3,3,2,3,1,1,0,0,1,1,2,5,2,5,2,0,3,2,3,0,0,4
강도,569,295,102,135,102,100,37,34,9,13,10,16,49,28,74,34,41,30,21,25,8,11,27,2,15,13,8,48,11,9,9,15,31,18,13,24,12,16,13,13,8,12,28,5,5,31,5,28,5,13,18,52,35,421,224,110,117,86,69,45,23,5,5,8,10,36,33,40,26,35,9,18,11,3,13,16,7,11,7,3,34,7,3,2,18,39,11,17,13,3,19,15,6,7,11,18,4,8,9,4,15,5,12,49,38,341,131,63,111,53,82,32,17,12,7,5,15,24,28,31,12,19,12,17,13,13,10,19,11,12,13,6,32,4,5,4,8,33,8,13,30,4,12,5,8,4,5,20,3,0,5,5,7,9,7,37,25,274,161,60,103,44,64,29,0,14,0,4,4,6,5,7,12,0,25,30,38,14,42,2,7,5,5,4,11,1,15,8,5,20,3,1,12,8,0,0,0,9,9,0,2,30,6,0,0,4,3,3,6,2,22,7,1,2,14,21,0,1,0,9,9,6,14,9,13,3,1,1,0,9,5,10,4,17,0,1,4,2,13,26,3,4,29,260,137,51,88,47,35,33,3,11,1,4,4,1,3,6,9,0,17,17,26,9,19,3,7,2,0,1,5,1,17,2,4,9,3,1,3,5,2,0,5,2,5,3,2,17,0,0,6,1,3,7,5,9,8,8,0,2,15,12,1,5,0,5,4,6,6,6,15,1,0,2,1,1,1,7,5,10,4,1,7,6,26,1,1,24
강간·강제추행,4916,1332,974,1227,861,523,373,323,109,78,118,135,413,377,548,204,356,221,201,222,82,129,152,88,151,88,43,271,64,39,58,87,290,88,143,265,33,104,100,116,94,96,131,34,64,128,83,141,9,84,85,333,264,5384,1790,1145,1287,823,644,449,379,99,81,89,146,435,380,609,180,382,248,218,217,81,111,219,119,129,100,51,306,75,49,55,101,308,89,132,294,44,145,101,125,189,125,180,38,64,142,89,189,89,114,364,384,5457,1549,976,1205,837,572,443,276,106,81,93,140,375,431,549,140,281,323,243,196,68,124,196,102,150,104,69,289,58,48,71,97,285,118,124,242,58,131,97,85,86,116,112,24,55,147,97,137,84,139,296,313,5463,1435,902,1294,750,569,444,38,345,20,91,79,99,95,115,193,42,415,428,626,218,336,68,240,67,32,108,278,38,240,89,123,221,68,37,171,90,39,25,30,132,97,14,46,324,75,7,43,53,44,41,68,95,275,89,33,33,98,254,42,36,11,127,114,97,80,90,141,42,20,24,67,37,23,150,88,164,1,32,37,98,126,278,51,48,252,5991,1323,880,1597,694,620,430,51,338,21,129,83,118,88,118,229,46,472,478,570,182,416,73,272,62,60,91,235,33,195,92,127,213,78,21,162,94,41,22,39,120,109,14,50,323,97,4,46,41,66,51,67,97,294,75,22,24,96,240,38,48,10,140,106,89,88,83,112,33,21,24,57,20,22,164,97,152,20,36,112,110,284,46,115,311
